"a" "b" "value"
0 11 10.6602309 
0 19 13.36611198 
1 6 9.513784653 
1 16 2.613698314 
2 18 2.800009569 
3 6 3.029918949 
3 10 4.938584649 
4 2 14.67062009 
4 5 11.8291719 
4 6 14.83887263 
5 10 15.99521994 
5 13 8.869925643 
5 15 0.683637604 
6 14 13.26371056 
6 16 1.779921498 
7 3 7.161697485 
8 0 18.35266224 
8 6 1.501862926 
8 7 14.31817203 
8 11 16.53346815 
9 17 13.19908823 
10 13 18.24638693 
10 19 8.988295593 
11 8 1.307490283 
11 14 4.148930616 
11 17 15.66755249 
12 6 11.63326253 
13 2 5.427350219 
13 7 17.49149739 
13 10 12.38691285 
13 12 10.79105642 
13 17 13.01119922 
13 19 13.9200878 
14 4 19.71697942 
14 9 9.053837383 
14 10 13.84508164 
14 19 14.66045412 
15 1 12.11934156 
15 13 18.13124265 
16 1 14.96340529 
16 5 4.170742686 
16 7 17.54679671 
16 13 8.307746581 
17 0 19.55369115 
17 8 1.766319571 
18 9 12.73555667 
18 11 3.568552838 
18 13 9.200877093 
20 3 16.60326462 
20 5 5.546829325 
20 13 10.47422653 
21 1 0.991247506 
21 11 9.416922057 
22 4 17.70516968 
22 10 13.78856534 
23 10 16.19132237 
23 19 6.548314454 
24 0 2.643945267 
24 8 8.75333718 
24 16 7.20217424 
25 5 5.591197573 
25 7 17.91061871 
25 8 13.06121005 
26 1 11.74463088 
26 18 1.096314985 
27 9 5.737749957 
28 7 4.518304112 
28 14 11.76181204 
28 16 8.612554272 
29 0 6.123276741 
29 12 1.354422204 
29 14 13.99494362 
30 12 16.54653701 
30 16 0.672873608 
31 2 16.10079592 
31 6 9.128200672 
31 7 2.244448538 
31 10 12.51740797 
31 11 19.14703354 
32 15 11.49312925 
32 19 19.19815968 
33 7 15.29163222 
33 19 3.999253785 
34 5 0.789352509 
35 2 4.780693174 
35 12 0.138962218 
36 2 11.7286347 
37 14 6.343168615 
37 17 17.98366573 
38 14 19.48412512 
39 6 13.89472755 
39 16 1.564276415 
39 19 9.045337358 
40 1 12.97272712 
40 11 2.625013806 
40 12 1.164863955 
41 15 17.04129232 
42 2 1.201432632 
42 3 18.32329925 
43 9 5.75414303 
43 11 11.95508809 
44 7 14.81500407 
44 9 0.917415756 
44 13 14.05351455 
45 2 18.2263654 
45 3 6.783118315 
45 12 13.49665729 
45 15 1.798334301 
46 6 4.537791878 
46 14 4.79771229 
47 0 14.60560452 
47 10 7.559600621 
47 19 15.37851243 
48 2 10.54446439 
48 10 11.64496222 
48 17 0.326686375 
49 18 5.731726177 
51 9 3.044353925 
51 11 8.662901904 
51 14 5.926783827 
51 16 1.825127498 
52 1 13.03040365 
53 9 10.35631242 
54 10 8.673218699 
54 18 0.004932391 
55 6 6.691834495 
55 17 7.673982793 
56 3 16.45282672 
56 7 12.59743621 
56 8 10.82043459 
56 12 2.121366246 
56 13 15.16138851 
57 7 15.40951903 
57 16 3.753768663 
58 7 15.19944249 
58 9 16.40521875 
58 16 9.627031879 
58 18 5.983385005 
59 4 8.700868987 
59 9 16.27460248 
59 16 16.9338437 
60 1 16.41410019 
60 3 8.372704362 
61 12 2.738583438 
62 6 18.39888884 
63 0 8.817106831 
64 15 4.749351786 
65 0 6.259450419 
65 8 0.054287014 
65 10 17.48648507 
65 12 8.084462683 
66 1 4.956316504 
66 7 0.677144709 
66 9 7.419837395 
66 13 13.05766759 
67 13 8.327934162 
67 15 18.30613912 
68 13 9.195066882 
69 12 6.348508 
69 19 14.00472457 
70 2 11.07582752 
70 3 0.161523178 
70 4 1.79267295 
70 9 2.643892163 
71 7 18.22084833 
72 2 9.884628944 
75 16 8.148822072 
77 14 10.96384479 
77 16 14.89155979 
78 14 19.24261087 
79 4 11.4894424 
79 7 2.36250672 
79 8 6.332827724 
79 9 16.66925633 
79 14 14.8207163 
80 10 9.731856437 
81 12 15.53223984 
81 14 0.211450365 
81 17 4.440620719 
82 4 18.01880131 
82 11 3.963134917 
82 18 17.82800694 
84 0 19.86139625 
84 15 4.262429635 
85 0 16.83434133 
85 10 15.73425908 
85 12 18.80876186 
86 4 16.50901248 
86 7 0.078859659 
86 16 10.02595037 
87 1 14.44151516 
87 12 7.930397946 
87 16 11.84087082 
88 17 12.27463096 
89 0 6.707721978 
89 9 2.347785245 
89 12 11.19423578 
90 12 8.224516522 
90 14 11.52103486 
90 19 19.25149476 
91 12 10.10364148 
92 3 8.639407767 
93 1 16.46407255 
93 9 6.090049449 
93 10 12.04889018 
93 12 11.51187783 
93 16 6.132608932 
93 18 6.940096336 
94 1 3.941210074 
94 4 10.08965774 
94 7 5.327789031 
94 9 10.48333856 
94 18 13.62080435 
94 19 14.48622164 
95 2 2.589079282 
95 17 11.117288 
97 4 8.942045322 
98 5 5.598673396 
98 14 19.45457631 
99 8 2.604099542 
99 19 10.30449039 
100 18 7.147636746 
101 1 14.45231782 
101 2 16.40250294 
101 3 16.55849662 
101 14 6.334849658 
102 16 10.57638562 
104 17 0.354960681 
105 5 12.82176125 
105 6 10.09197469 
105 15 13.40141985 
106 8 12.55468476 
107 0 18.59808638 
107 1 8.071857755 
109 7 15.19154175 
109 9 1.276409653 
109 15 5.581114034 
110 7 5.084708728 
110 8 3.854536721 
110 9 8.808441807 
110 12 2.335845282 
112 10 8.116532819 
112 13 4.752563573 
112 18 11.21508113 
113 1 17.318753 
113 5 16.30776463 
113 17 18.43637825 
114 2 7.930623558 
115 1 4.820979545 
115 3 16.15537605 
116 12 10.85247224 
116 14 15.10054208 
116 17 5.305701896 
116 19 6.949461677 
118 1 3.41949022 
118 3 19.40223859 
118 5 4.996855468 
118 9 17.50297708 
118 10 13.47557638 
119 12 8.36975491 
119 18 7.340563238 
120 8 15.92743235 
120 16 15.00661503 
121 10 17.19589685 
121 13 19.96876472 
122 4 16.22262549 
122 16 0.434054112 
122 17 0.869966804 
123 8 19.71766865 
123 14 3.319767391 
124 0 4.672885483 
124 8 16.08890576 
126 15 3.580693609 
126 17 8.978337843 
127 0 1.22379959 
127 4 4.799729694 
127 13 15.87829046 
128 14 9.860912608 
128 18 5.1144031 
130 12 7.932825407 
130 16 12.99373147 
131 6 6.559302521 
131 14 10.00486972 
132 4 19.72642656 
133 1 13.94271324 
133 3 2.052643735 
133 6 4.005363297 
133 9 1.092753376 
133 14 7.862890083 
133 17 4.619006227 
134 0 17.52505336 
134 10 0.261638182 
134 16 0.539042725 
135 4 13.94829379 
135 6 1.709389948 
135 13 2.624208092 
136 1 9.953231984 
136 5 9.142702425 
136 13 2.516322657 
137 3 4.107926465 
137 18 18.47897375 
138 1 0.696773638 
138 9 15.63669216 
138 18 16.93175649 
139 0 17.65993483 
139 4 0.960357061 
139 7 12.43188743 
139 14 11.64722795 
139 16 2.445904588 
139 17 14.47550917 
139 19 15.05353708 
140 1 1.852604815 
140 8 17.0899192 
141 12 4.998875276 
141 17 19.76834389 
142 0 9.705249395 
142 17 10.17023465 
143 12 2.991043956 
143 14 0.693113879 
145 8 7.158869401 
146 11 0.897610444 
147 0 0.929816745 
147 4 7.512814604 
147 7 7.350608236 
147 12 17.8733131 
148 0 17.33408565 
148 2 19.23020813 
149 12 6.650811821 
149 13 2.803165887 
150 3 15.55264904 
150 6 4.106479237 
150 8 5.117630209 
150 11 9.866495353 
151 6 0.590686275 
152 6 6.550866724 
152 10 16.43185694 
153 0 14.62076499 
153 8 1.048252659 
153 12 16.60091091 
154 7 12.77248455 
154 8 19.52592191 
154 16 12.10433991 
154 19 18.18015199 
155 1 8.608919997 
155 3 7.293618239 
155 12 3.073935378 
156 15 0.05150596 
156 16 5.740506669 
156 19 19.20386548 
157 6 11.69779353 
159 18 18.61787803 
160 12 14.43290835 
160 16 17.67186909 
160 19 15.06535571 
161 3 7.920681343 
161 17 1.775739026 
162 12 10.2477887 
162 13 18.16669377 
164 3 3.714603115 
164 4 17.42720127 
165 1 6.330617832 
165 19 15.92621181 
166 19 9.113661874 
167 11 3.431601136 
167 15 9.355293595 
167 19 12.24997317 
168 11 14.72519835 
169 3 19.73360955 
169 12 3.413946531 
169 14 4.593834342 
170 18 10.20100785 
170 19 5.674912325 
171 1 19.69262267 
171 7 0.440527775 
171 8 1.652677406 
171 9 16.97302834 
171 12 17.4199223 
172 2 2.187164187 
172 7 8.271013867 
172 10 9.271084091 
172 14 6.099209922 
172 17 14.81199271 
173 0 12.07146832 
173 4 5.182481001 
173 7 7.270800272 
173 15 1.561656789 
174 6 0.522941218 
175 5 2.355383995 
175 14 14.06611804 
176 7 18.0671452 
176 14 11.67878952 
176 19 19.56185208 
177 3 7.425098666 
177 14 0.739205341 
177 17 11.01586498 
178 0 2.330226392 
179 8 17.68115697 
179 16 10.01007671 
180 1 18.89497514 
180 2 16.25357582 
182 10 19.4809088 
182 15 8.659484922 
184 16 3.022971288 
185 8 17.66864303 
185 19 17.68576633 
186 9 4.155409004 
187 0 8.26688887 
187 6 2.585583634 
187 10 19.0642542 
188 10 15.48152009 
188 12 19.2251909 
188 15 4.585383854 
189 4 17.99982968 
189 9 10.06199605 
189 16 8.00968808 
190 2 0.710677553 
190 10 17.75199861 
191 1 16.98395899 
191 3 1.583554849 
192 1 9.533307332 
192 5 2.478240768 
192 13 4.372553796 
193 2 7.780605168 
193 11 5.862154645 
194 6 12.41274086 
