Remove the first two lines,,
origin,destination,price
AER,KZN,1686.18
ASF,KZN,9395.07
CEK,KZN,4720.75
CEK,OVB,2876.04
CSY,DME,911.25
DME,CSY,9920.3
DME,KVX,8659.53
DME,KZN,7490.49
DME,MQF,1347.17
DME,NBC,9870.08
DME,UUA,5388.94
GYD,NBC,6658.9
KEJ,SVX,6894.54
KJA,OMS,2152.04
KRR,KZN,4276.11
KRR,NBC,6655.19
KUF,LED,4011.96
KVX,DME,3295.39
KZN,AER,4868.21
KZN,ASF,4339.51
KZN,CEK,7307.49
KZN,DME,7072.84
KZN,KRR,9309.25
KZN,LED,6625.41
KZN,MRV,6039.61
KZN,OMS,3076.77
KZN,ROV,7599.81
KZN,SVX,1368.26
LED,KUF,3097.49
LED,KZN,3165.82
LED,MQF,1863.37
LED,NBC,1589.85
LED,PEE,1838.52
LED,UFA,6298.28
MQF,DME,9721.06
MQF,LED,4784.03
MRV,KZN,6505.72
MRV,NBC,5452.14
NBC,DME,5719.09
NBC,GYD,4889.28
NBC,KRR,1214.59
NBC,LED,1918.91
NBC,MRV,7227.84
NBC,NJC,6574.23
NBC,NUX,3631.5
NBC,ROV,3670.25
NBC,SVX,3730.96
NJC,NBC,1744.46
NUX,NBC,9139.77
OMS,KJA,3272.59
OMS,KZN,5004.88
OVB,CEK,1897.12
OVB,SVX,3570.02
PEE,LED,6221.51
ROV,KZN,5538.82
ROV,NBC,8273.92
SVX,KEJ,6442.14
SVX,KZN,9926.67
SVX,NBC,5949.62
SVX,OVB,979.29
UFA,LED,3394.24
UUA,DME,6928.48
BQS,OVB,8098.24
BTK,IKT,4049.9
GDX,IKT,8320.32
HTA,IKT,7925.4
IKT,BTK,172.28
IKT,GDX,9841.62
IKT,HTA,1907.86
IKT,KCK,1990.61
IKT,MJZ,4166.93
IKT,ODO,5072.25
IKT,OVB,9156.29
IKT,ULK,1610.02
IKT,VVO,1589.92
KCK,IKT,175.41
MJZ,IKT,2460.49
MJZ,OVB,1751.52
ODO,IKT,4293.63
OVB,BQS,7482.39
OVB,IKT,2938.39
OVB,MJZ,973.47
ULK,IKT,5354.95
VVO,IKT,4588.07
YKS,IKT,3367.3
AYP,LIM,1407.02
CUZ,LIM,3750.31
CUZ,PEM,6232.6
HUU,LIM,5534.93
IQT,PCL,4475.04
IQT,TPP,2586.79
LIM,AYP,675.12
LIM,CUZ,1325.66
LIM,HUU,2080.59
LIM,PCL,1752.92
LIM,TPP,603.95
PCL,IQT,3671.54
PCL,LIM,6776.41
PCL,TPP,5154.77
PEM,CUZ,3935.03
TPP,IQT,2775.3
TPP,LIM,8103.78
TPP,PCL,6306.02
ABJ,BOY,8123.44
ABJ,OUA,264.92
ACC,OUA,196.91
BKO,OUA,9909.6
BOY,ABJ,1185.48
BOY,OUA,1550.12
COO,LFW,8582.75
COO,OUA,6398.05
DKR,OUA,2353.54
LFW,OUA,8963.98
NIM,OUA,2328.53
OUA,ABJ,6132.84
OUA,ACC,8795.12
OUA,BKO,8244.83
OUA,BOY,7462.22
OUA,COO,833.15
OUA,DKR,9607.42
OUA,LFW,6692.16
OUA,NIM,5341.63
CUE,UIO,9823.34
GPS,GYE,7949.92
GPS,UIO,8117.1
GYE,GPS,933.87
GYE,SCY,9123.27
GYE,UIO,3771.3
MEC,UIO,6728.53
OCC,UIO,5054.88
SCY,GYE,80.31
SCY,UIO,1942.35
UIO,CUE,6478.76
UIO,GYE,4532.4
UIO,MEC,1861.88
UIO,OCC,37.67
UIO,SCY,4361.95
AJR,LYC,7051.81
ARN,GEV,6573.08
ARN,HAD,2709.62
ARN,JKG,1382.97
ARN,KRF,2164.52
ARN,KSD,4040.2
ARN,LYC,7071.65
ARN,MHQ,2066.22
ARN,OER,9637.98
ARN,VBY,4723.16
ARN,VHM,5783.44
ARN,VXO,2294.3
BMA,JKG,7198.8
CPH,LPI,8404.11
GEV,ARN,4585.1
GEV,KRF,8264.11
HAD,ARN,2629.78
HAD,JKG,1172.09
HMV,VHM,3515.54
JKG,ARN,2380.95
JKG,BMA,6800.46
JKG,HAD,636.36
KRF,ARN,2145.67
KRF,GEV,9054.4
KSD,ARN,3959.98
KSD,LPI,616.31
LPI,CPH,9447.45
LPI,KSD,734.06
LYC,AJR,8598.32
LYC,ARN,3855.44
MHQ,ARN,6209.89
MHQ,TKU,1236.04
OER,ARN,7033.44
TKU,MHQ,7619.86
VBY,ARN,8998.75
VHM,ARN,7910.08
VHM,HMV,8167.63
VXO,ARN,2984.13
ADQ,AOS,648.78
ADQ,KKB,6080.1
ADQ,KLN,3379.6
ADQ,KOY,2838.72
ADQ,KOZ,1519.08
ADQ,KPY,1363.16
ADQ,OLH,7906.18
AOS,KZB,6838.23
KKB,SYB,8503.21
KLN,KYK,8648.81
KMY,ALZ,86.04
KOY,KMY,6873.28
KOZ,ORI,9836.19
KPY,UGI,7282.59
SYB,KPR,1749.8
UGI,KWP,9706.8
BCD,CEB,3832.75
BCD,MNL,7309.06
BKK,MNL,6601.85
BSO,MNL,4645.19
BXU,CEB,4433.87
BXU,MNL,1535.55
CBO,MNL,8375.65
CEB,BCD,7352.15
CEB,BXU,3452.08
CEB,CGY,2931.32
CEB,DVO,9337.39
CEB,HKG,2089.1
CEB,ILO,1545.58
CEB,MNL,7756.14
CEB,MPH,2154.7
CEB,OZC,4976.32
CEB,PPS,6553.05
CEB,TAC,5710.01
CEB,USU,209.15
CEB,ZAM,8644.52
CGY,CEB,2853.17
CGY,DVO,2506.82
CGY,MNL,600.6
CRM,MNL,6111.96
CYP,MNL,2646.01
DGT,MNL,4475.49
DPL,MNL,1419.86
DVO,CEB,3132.01
DVO,CGY,3124.13
DVO,MNL,7522.1
DVO,ZAM,7535.98
DXB,MNL,65.16
GES,ILO,9917.68
GES,MNL,8743.01
HGH,KLO,8192.21
HKG,CEB,9244.12
ILO,CEB,9027.49
ILO,GES,4441.48
ILO,MNL,503.42
ILO,PPS,7333.44
JOL,ZAM,9290.21
KLO,HGH,8179.47
KLO,MNL,661.29
KLO,PVG,2335.99
KUL,MNL,1941.29
LAO,MNL,989.13
LGP,MNL,875.73
MBT,MNL,6523.67
MNL,BCD,5295.3
MNL,BKK,1866.47
MNL,BSO,8273.91
MNL,BXU,8797.84
MNL,CBO,5929.37
MNL,CEB,4673.15
MNL,CGY,2449.6
MNL,CRM,2169.85
MNL,CYP,5705.92
MNL,DGT,6560.5
MNL,DPL,8286.49
MNL,DVO,8883.22
MNL,DXB,4775.16
MNL,GES,8799.05
MNL,ILO,2239.64
MNL,KLO,7385.72
MNL,KUL,3744.63
MNL,LAO,6115.97
MNL,LGP,506.17
MNL,MBT,5880.4
MNL,MPH,109.32
MNL,OZC,7203.12
MNL,PPS,8246.77
MNL,RXS,7061.95
MNL,SIN,8114.56
MNL,SUG,7446.79
MNL,TAC,2115.91
MNL,TAG,4172.28
MNL,TUG,1841.84
MNL,USU,8111.38
MNL,WNP,3576.08
MNL,ZAM,2777.15
MPH,CEB,6977.89
MPH,MNL,8840.92
OZC,CEB,5362.42
OZC,MNL,6579.52
PPS,CEB,6841.98
PPS,ILO,8830.05
PPS,MNL,7373.26
PPS,USU,9268.44
